question,answer,category,difficulty,mode,question_type,choice_a,choice_b,choice_c,choice_d
"4 13 In the given equation, s and r are constants, and s > 0. If the equation has infinitely many solutions, what is the value of s?",403,Math,hard,sat,text,,,,
y +10 9 8 ES 64 5+N a ; “NING ‘ ~—aN ple 1234567 8S~wo Th N What system of linear equations is represented by the lines shown?,D,Math,medium,sat,multiple_choice,82 + 4y = 32 —10x — 4y = —64,8a — 4y = 32 —102 + 4y = —64,4x — 10y = 32 —82 + 10y = —64,4a + 10y = 32 —8x — 10y = —64
The function f is defined by f(x) = 25x + 30. What is the value of f(a) when x = 2?,Cc,Math,easy,sat,text,,,,
Line kis defined by y = -te + 5. Line 7 is perpendicular to line k in the xy-plane. What is the slope of line 7?,"1764, .1765, 3/17",Math,medium,sat,text,,,,
"If 2x + 3 = 9, what is the value of 62 — 1?",ie,Math,easy,sat,text,,,,
The function f is defined by f(x) = 82. For what value of « does f(x) = 72? A.8 B.9,B,Math,easy,sat,text,,,,
"f(a) = 4a +b For the linear function f, bis a constant and f(7) = 28. What is the value of b? A.0 B.1 C.4 D.7",A,Math,easy,sat,text,,,,
"x y k 13 k+7) —15 The table gives the coordinates of two points on a line in the xy-plane. The y-intercept of the line is (k — 5, 6), where & and b are constants. What is the value of b?",33,Math,hard,sat,text,,,,
32 = 36y — 45 One of the two equations in a system of linear equations is given. The system has no solution. Which equation could be the second equation in this system? Ax =4y B Fu =4y C.2=12y-—15 D. $2 = 12y— 15,B,Math,hard,sat,text,,,,
"1 _ os 1 x— zy =2 The system of equations above has solution (x, y). What is the value of x ? A3 i B. 2 c.4 D.6",D,Math,medium,sat,text,,,,
"The total cost f(z), in dollars, to lease a car for 36 months from a particular car dealership is given by f(x) = 36x + 1,000, where z is the monthly payment, in dollars. What is the total cost to lease a car when the monthly payment is $400?",Cc,Math,easy,sat,text,"$13,400","$13,000","$15,400","$37,400"
"The graph of the equation ax + ky = G is a line in the xy-plane, where a and k are constants. If the line contains the points (-2, —6)and (0, —3), what is the value of k ? A.-2 B.-1 C.2 D.3",A,Math,hard,sat,text,,,,
Line £ is defined by 3y + 12x = 5. Line nis perpendicular to line £ in the xy-plane. What is the slope of line n?,"0.25, 1/4",Math,hard,sat,text,,,,
"A window repair specialist charges $220 for the first two hours of repair plus an hourly fee for each additional hour. The total cost for 5 hours of repair is $400. Which function f gives the total cost, in dollars, for x hours of repair, where x > 2?",A,Math,hard,sat,text,,,,
"Hector used a tool called an auger to remove corn from a storage bin at a constant rate. The bin contained 24,000 bushels of corn when Hector began to use the auger. After 5 hours of using the auger, 19,350 bushels of corn remained in the bin. If the auger continues to remove corn at this rate, what is the total number of hours Hector will have been using the auger when 12,840 bushels of corn remain in the bin?",D,Math,hard,sat,text,,,,
"The function h is defined by h(x) = 4a@ + 28. The graph of y = h(z) in the xy-plane has an x-intercept at (a, 0) and a y-intercept at (0, b), where a and b are constants. What is the value of a + b? A.21 B. 28 C. 32 D. 35",A,Math,medium,sat,multiple_choice,21,28,32,35
"x y 18 | 130 23 | 160 26 | 178 For line h, the table shows three values of x and their corresponding values of y. Line kis the result of translating line h down 5 units in the xy-plane. What is the x-intercept of line k?",D,Math,hard,sat,text,,,,
"An economist modeled the demand Q for a certain product as a linear function of the selling price P. The demand was 20,000 units when the selling price was $40 per unit, and the demand was 15,000 units when the selling price was $60 per unit. Based on the model, what is the demand, in units, when the selling price is $55 per unit?",A,Math,hard,sat,multiple_choice,"16,250","16,500","16,750","17,500"
zr y —12) —45 6 45 The table shows two values of x and their corresponding values of y. The graph of the linear equation representing this relationship passes through the point (4; a). What is the value of a?,"16.25, 65/4",Math,hard,sat,text,,,,
"A certain apprentice has enrolled in 85 hours of training courses. The equation 10% + 15y = 85 represents this situation, where x is the number of on-site training courses and y is the number of online training courses this apprentice has enrolled in. How many more hours does each online training course take than each on-site training course?",5,Math,hard,sat,text,,,,
"two variables Hiro and Sofia purchased shirts and pants from a store. The price of each shirt purchased was the same and the price of each pair of pants purchased was the same. Hiro purchased 4 shirts and 2 pairs of pants for $86, and Sofia purchased 3 shirts and 5 pairs of pants for $166. Which of the following systems of linear equations represents the situation, if x represents the price, in dollars, of each shirt and y represents the price, in dollars, of each pair of pants? 4x+2y =86",A,Math,easy,sat,text,,,,
"The point (8, 2) in the xy-plane is a solution to which of the following systems of inequalities? A.z>0 y>0 Baz >0 y<0 C.2<0 y>O0 Da<0 y<0",A,Math,easy,sat,text,,,,
Line kis defined by y = 3x + 15. Line jis perpendicular to line k in the xy-plane. What is the slope of line 7? a-k Bo o-% 0-4,A,Math,easy,sat,text,,,,
7(22 — 3) = 63 Which equation has the same solution as the given equation? A.22 —3=9 B. 22 —3 = 56 C. 2x2 — 21 = 63 D. 2x — 21 = 70,A,Math,easy,sat,multiple_choice,22 —3=9,22 —3 = 56,2x2 — 21 = 63,2x — 21 = 70
"A store sells two different-sized containers of a certain Greek yogurt. The store's sales of this Greek yogurt totaled 1,277.94 dollars last month. The equation 5.482 + 7.30y = 1,277.94 represents this situation, where x is the number of smaller containers sold and y is the number of larger containers sold. According to the equation, which of the following represents the price, in dollars, of each smaller container?",A,Math,easy,sat,multiple_choice,5.48,7.30y,7.30,5.482
"az + by = 72 6x + 2by = 56 In the given system of equations, a and b are constants. The graphs of these equations in the xy-plane intersect at the point (4, y). What is the value of a? A.3 B.4 C.6 D.14",D,Math,hard,sat,text,,,,
"d=16-= The equation shown gives the estimated amount of diesel d, in gallons, that remains in the gas tank of a truck after being driven & miles, where 0 < x < 480. What is the estimated amount of diesel, in gallons, that remains in the gas tank of the truck when az = 300? A.0 B.6 c.14 D.16",B,Math,easy,sat,text,,,,
"wt+7 = 357 What value of w is the solution to the given equation? A.51 B. 350 C. 364 D. 3,577",B,Math,easy,sat,multiple_choice,51,350,364,"3,577"
2x-1 If fis the function defined by f) 7 = what is the value of (5)? > ES o wl~ D.9,Cc,Math,easy,sat,text,,,,
"Adam's school is a 20-minute walk or a 5-minute bus ride away from his house. The bus runs once every 30 minutes, and the number of minutes, w, that Adam waits for the bus varies between 0 and 30. Which of the following inequalities gives the values of w for which it would be faster for Adam to walk to school? A.w-5<20 B.w—5>20 C.w+5<20 D.w+5>20",D,Math,hard,sat,multiple_choice,w-5<20,w—5>20,w+5<20,w+5>20
The function f is defined by f(x) = 75a + 55. Whatis the value of f(20)?,69,Math,easy,sat,text,,,,
"J 20 18 16 14 10 NN BR WD oO x O*2°4°6 +8 10:12:14 '16 18 20 The graph in the xy-plane models the possible combinations of length z, in meters (m), and width y, in meters, for a rectangle with a perimeter of 36 m. Which statement is the best interpretation of the point (8, 10) in this context?",Cc,Math,medium,sat,text,"The length is 10 m less than the perimeter, and the width is 8 m less than the perimeter.","The length is 10 m, and the width is 8 m.","The length is 8 m, and the width is 10 m.","The length is 8 m less than the perimeter, and the width is 10 m less than the perimeter."
Line pis defined by 2y + 18a” = 9. Line ris perpendicular to line p in the xy-plane. What is the slope of line r?,Cc,Math,medium,sat,text,,,,
"If 32 — 27 = 24, what is the value of x — 9? A.1 B.8 C. 24 D. 35",B,Math,easy,sat,text,,,,
Line pis defined by 4y + 8x = 6. Line r is perpendicular to line p in the xy-plane. What is the slope of line 7?,"«5, 1/2",Math,hard,sat,text,,,,
"If 32 — 8 = 7, what is the value of 3a + 8? A.-1 B.5 C.13 D. 23",D,Math,easy,sat,text,,,,
"The front of a roller-coaster car is at the bottom of a hill and is 15 feet above the ground. If the front of the roller-coaster car rises at a constant rate of 8 feet per second, which of the following equations gives the height h, in feet, of the front of the roller-coaster car s seconds after it starts up the hill? Ah=8s+15 335 B. h=15s+ 3) 335 c h=8s+ 5 D.A=15S8+8",A,Math,easy,sat,text,,,,
"5a = 15 42 +y=-2 The solution to the given system of equations is (a, y). What is the value of x + y? A.-17 B. —13 C.13 D.17",Cc,Math,easy,sat,text,-17,—13,13,17
"The cost of renting a backhoe for up to 10 days is $270 for the first day and $135 for each additional day. Which of the following equations gives the cost y, in dollars, of renting the backhoe for x days, where z is a positive integer and x < 10?",D,Math,hard,sat,multiple_choice,y = 270 — 135,y = 270x + 135,y = 1352 + 270,y = 1352 + 135
What value of p satisfies the equation 5p + 180 = 250? A.14 B. 65 C. 86 D. 250,A,Math,easy,sat,multiple_choice,14,65,86,250
|x + 45| = 48 What is the positive solution to the given equation? A.3 B. 48 C.93 D. 96,A,Math,easy,sat,text,,,,
"6r=7s+t The given equation relates the variables r, s, and t. Which equation correctly expresses s in terms of r and t? A.s = 42r—t B.s = 7(6r —t) — & Cs=7r-t — &r-t Ds =",D,Math,easy,sat,text,,,,
"The line graph shows the percent of cars for sale at a used car lot on a given day by model year. 15% 7) 3 ——-7* w o- S 10% IN = — q aN S VA we XLS ° 5% XI r= VW Oo 1S) o cana a a ee Sr LS? aS? a"" aS? La? aS! aS? ay ee Pp Pr ae” ep” PR” op Model year For what model year is the percent of cars for sale the smallest?",Cc,Math,easy,sat,text,,,,
"The number of raccoons in a 131-square-mile area is estimated to be 2,358. What is the estimated population density, in raccoons per square mile, of this area? A.18 B. 131 c. 149 D. 2,376",A,Math,easy,sat,text,,,,
"A survey taken by 1,000 students at a school asked whether they played school sports. The table below summarizes all 1,000 responses from the students surveyed. Males | Females Play a school sport 312 220 Do not play a school sport 2 216 How many of the males surveyed responded that they do not play a school sport?",B,Math,easy,sat,multiple_choice,109,252,468,688
"A study was done on the weights of different types of fish in a pond. A random sample of fish were caught and marked in order to ensure that none were weighed more than once. The sample contained 150 largemouth bass, of which 30% weighed more than 2 pounds. Which of the following conclusions is best supported by the sample data?",D,Math,medium,sat,multiple_choice,The majority of all fish in the pond weigh less than 2 pounds.,The average weight of all fish in the pond is approximately 2 pounds.,Approximately 30% of all fish in the pond weigh more than 2 pounds.,Approximately 30% of all largemouth bass in the pond weigh more than 2 pounds.
Which of the following is F 3 equivalent to 2x” +4,D,Math,easy,sat,text,,,,
"15,7 Which expression is equivalent to fbr where h > O and gq > 0? p10 AAT h3 Be on hl0gi4 D. h3¢3",A,Math,medium,sat,text,,,,
Which expression is equivalent to 9a? + 5x?,A,Math,easy,sat,multiple_choice,«(9x + 5),5a(9x + 1),9x(x + 5),2?(9x +5)
Which expression is equivalent to 5a° — 6x4 + 823?,B,Math,easy,sat,multiple_choice,«4 (5a — 6),«3 (5a? — 6x + 8),8a3 (5x? — 6x + 1),62° (—6r* + 8a* + 1)
Which expression is equivalent to 1322 — 7x2?,B,Math,easy,sat,multiple_choice,—912x?,6x?,20x?,40x?
Which of the following is equivalent to 2(x? —x) +3(x?—x) 9,A,Math,easy,sat,multiple_choice,5x? —5x,5x? +5x,5x,5x2
Which of the following is 2 equivalent to 2)?,D,Math,hard,sat,text,,,,
"One of the factors of 2a3 + 42a? + 2082 is x + b, where bis a positive constant. What is the smallest possible value of b?",8,Math,hard,sat,text,,,,
x? +6x—-7 2 The equation X+/7 are integers. What is the value of a+ dq?,Cc,Math,hard,sat,text,-6,—1,0,1
Which of the following expressions is x?-2x-5 equivalentto x—3 Ax 79o7 = aX 757 a ox tt - a pX+1 - a,D,Math,hard,sat,text,,,,
"The expression 69/352 - 4/28z is equivalent to ax’, where a and b are positive constants and 2 > 1. What is the value of a+b?","361/8, 45.12, 45.13",Math,hard,sat,text,,,,
"If @=c+d, which of the following is equivalent to the expression x*—¢?—2cd—d*9",Cc,Math,hard,sat,text,,,,
"If a and c are positive numbers, which of the following is 3 equivalent to V(ate)-¥ atc, A.a+c B.a*+c? c.a*+2ac+c* p, ac?",Cc,Math,hard,sat,text,,,,
(4x3 —5x?+3)—(6x? +2x?—x) Which of the following expressions is equivalent to the expression above?,B,Math,medium,sat,text,,,,
"1 2 — + —| —y— ( 2* 3 ( 3* 5) Which of the following is equivalent to the expression above? 1 A.7 st 8 B.7~ ox 2 15,1 —->S¥ t—""e415 Cc. 3 2 15 9 -—"" eis D 3 2",A,Math,medium,sat,text,,,,
"f(z) =a? + be g(x) = 9x? — 272 Functions f and g are given, and in function f, b is a constant. If f(z) . g(x) = 9x4 — 26a3 — 322, what is the value of b?",Cc,Math,medium,sat,text,,,,
(2x +3)-(x-7) Which of the following is equivalent to the given expression? A.x-4 B.3x—-4 C.x+10 p.2x2+21,Cc,Math,medium,sat,text,,,,
