question,answer,category,difficulty,mode,question_type,choice_a,choice_b,choice_c,choice_d
"If $\frac{x-1}{3}=k$ and $k=3$, what is the value of $x ?$",D,Math,medium,sat,multiple_choice,2,4,9,10
"For $i=\sqrt{-1}$, what is the sum $(7+3 i)+(-8+9 i) ?$",A,Math,medium,sat,multiple_choice,$-1+12 i$,$-1-6 i$,$15+12 i$,$15-6 i$ 3
"On Saturday afternoon, Armand sent $m$ text messages each hour for 5 hours, and Tyrone sent $p$ text messages each hour for 4 hours. Which of the following represents the total number of messages sent by Armand and Tyrone on Saturday afternoon?",C,Math,medium,sat,multiple_choice,$9 m p$,$20 m p$,$5 m+4 p$,$4 m+5 p$
"Kathy is a repair technician for a phone company. Each week, she receives a batch of phones that need repairs. The number of phones that she has left to fix at the end of each day can be estimated with the equation $P=108-23 d$, where $P$ is the number of phones left and $d$ is the number of days she has worked that week. What is the meaning of the value 108 in this equation?",B,Math,medium,sat,multiple_choice,Kathy will complete the repairs within 108 days.,Kathy starts each week with 108 phones to fix.,Kathy repairs phones at a rate of 108 per hour.,Kathy repairs phones at a rate of 108 per day.
$$\left(x^{2} y-3 y^{2}+5 x y^{2}\right)-\left(-x^{2} y+3 x y^{2}-3 y^{2}\right)$$Which of the following is equivalent to the expression above?,C,Math,medium,sat,multiple_choice,$4 x^{2} y^{2}$,$8 x y^{2}-6 y^{2}$,$2 x^{2} y+2 x y^{2}$,$2 x^{2} y+8 x y^{2}-6 y^{2}$
"$$h=3 a+28.6$$A pediatrician uses the model above to estimate the height $h$ of a boy, in inches, in terms of the boy's age $a$, in years, between the ages of 2 and 5. Based on the model, what is the estimated increase, in inches, of a boy's height each year?",A,Math,medium,sat,multiple_choice,3,$\quad 5.7$,9.5,14.3
"$$m=\frac{\left(\frac{r}{1,200}\right)\left(1+\frac{r}{1,200}\right)^{N}}{\left(1+\frac{r}{1,200}\right)^{N}-1} P$$The formula above gives the monthly payment $m$ needed to pay off a loan of $P$ dollars at $r$ percent annual interest over $N$ months. Which of the following gives $P$ in terms of $m, r$, and $N$ ?",B,Math,medium,sat,multiple_choice,"$P=\frac{\left(\frac{r}{1,200}\right)\left(1+\frac{r}{1,200}\right)^{N}}{\left(1+\frac{r}{1,200}\right)^{N}-1} m$","$P=\frac{\left(1+\frac{r}{1,200}\right)^{N}-1}{\left(\frac{r}{1,200}\right)\left(1+\frac{r}{1,200}\right)^{N}} m$","$P=\left(\frac{r}{1,200}\right) m$","$P=\left(\frac{1,200}{r}\right) m$"
"If $\frac{a}{b}=2$, what is the value of $\frac{4 b}{a} ?$",C,Math,medium,sat,multiple_choice,0,1,2,4
"$$\begin{array}{r}3 x+4 y=-23 \\2 y-x=-19\end{array}$$What is the solution $(x, y)$ to the system of equations above?",B,Math,medium,sat,multiple_choice,"$(-5,-2)$","$(3,-8)$","$(4,-6)$","$(9,-6)$"
"$$g(x)=a x^{2}+24$$For the function $g$ defined above, $a$ is a constant and $g(4)=8$. What is the value of $g(-4)$ ?",A,Math,medium,sat,multiple_choice,8,0,-1,-8
"$$\begin{aligned}& b=2.35+0.25 x \\& c=1.75+0.40 x\end{aligned}$$In the equations above, $b$ and $c$ represent the price per pound, in dollars, of beef and chicken, respectively, $x$ weeks after July 1 during last summer. What was the price per pound of beef when it was equal to the price per pound of chicken?",D,Math,medium,sat,multiple_choice,$\$ 2.60$,$\$ 2.85$,$\$ 2.95$,$\$ 3.35$
A line in the $x y$-plane passes through the origin and has a slope of $\frac{1}{7}$. Which of the following points lies on the line?,D,Math,medium,sat,multiple_choice,"$(0,7)$","$(1,7)$","$(7,7)$","$(14,2)$"
"If $x>3$, which of the following is equivalent to $\frac{1}{\frac{1}{x+2}+\frac{1}{x+3}}$ ?",B,Math,medium,sat,multiple_choice,$\frac{2 x+5}{x^{2}+5 x+6}$,$\frac{x^{2}+5 x+6}{2 x+5}$,$2 x+5$,$x^{2}+5 x+6$
"If $3 x-y=12$, what is the value of $\frac{8^{x}}{2^{y}} ?$",A,Math,medium,sat,multiple_choice,$2^{12}$,4,$8^{2}$,The value cannot be determined from the information given.
"If $(a x+2)(b x+7)=15 x^{2}+c x+14$ for all values of $x$, and $a+b=8$, what are the two possible values for $c$ ?",D,Math,medium,sat,multiple_choice,3 and 5,6 and 35,10 and 21,31 and 41
"If $y=k x$, where $k$ is a constant, and $y=24$ when $x=6$, what is the value of $y$ when $x=5$ ?",C,Math,medium,sat,multiple_choice,6,15,20,23
"If $16+4 x$ is 10 more than 14 , what is the value of $8 x$ ?",C,Math,medium,sat,multiple_choice,2,6,16,80 5
"$$\begin{aligned}1 \text { decagram } & =10 \text { grams } \\1,000 \text { milligrams } & =1 \text { gram }\end{aligned}$$A hospital stores one type of medicine in 2-decagram containers. Based on the information given in the box above, how many 1-milligram doses are there in one 2-decagram container?",D,Math,medium,sat,multiple_choice,$\quad 0.002$,$\quad 200$,"$\quad 2,000$","20,000"
For what value of $n$ is $|n-1|+1$ equal to 0 ?,D,Math,medium,sat,multiple_choice,0,1,2,There is no such value of $n$.
Which of the following expresses the air temperature in terms of the speed of a sound wave?,A,Math,medium,sat,multiple_choice,"$t=\frac{a-1,052}{1.08}$","$t=\frac{a+1,052}{1.08}$","$t=\frac{1,052-a}{1.08}$","$t=\frac{1.08}{a+1,052}$"
"At which of the following air temperatures will the speed of a sound wave be closest to 1,000 feet per second?",B,Math,medium,sat,multiple_choice,$-46^{\circ} \mathrm{F}$,$-48^{\circ} \mathrm{F}$,$-49^{\circ} \mathrm{F}$,$-50^{\circ} \mathrm{F}$
Which of the following numbers is NOT a solution of the inequality $3 x-5 \geq 4 x-3$ ?,A,Math,medium,sat,multiple_choice,-1,-2,-3,-5
\begin{center}\begin{tabular}{|c|c|c|c|c|c|}\cline { 3 - 5 }\multicolumn{2}{c|}{} & \multicolumn{3}{c|}{Course} & \multicolumn{1}{c|}{} \\\cline { 2 - 5 }\multicolumn{2}{c|}{} & Algebra I & Geometry & $\begin{array}{c}\text { Algebra } \\ \text { II }\end{array}$ & \multirow{2}{*}{Total} \\\hline\multirow{2}{*}{Gender} & Female & 35 & 53 & 62 & \\\cline { 2 - 5 }& Male & 44 & 59 & 57 & 160 \\\hline& Total & 79 & 112 & 119 & 310 \\\hline\end{tabular}\end{center}A group of tenth-grade students responded to a survey that asked which math course they were currently enrolled in. The survey data were broken down as shown in the table above. Which of the following categories accounts for approximately 19 percent of all the survey respondents?,C,Math,medium,sat,multiple_choice,Females taking Geometry,Females taking Algebra II,Males taking Geometry,Males taking Algebra I
"\begin{center}\begin{tabular}{|c|c|c|c|c|c|c|}\hline\multicolumn{7}{|c|}{Lengths of Fish (in inches)} \\\hline8 & 9 & 9 & 9 & 10 & 10 & 11 \\\hline11 & 12 & 12 & 12 & 12 & 13 & 13 \\\hline13 & 14 & 14 & 15 & 15 & 16 & 24 \\\hline\end{tabular}\end{center}The table above lists the lengths, to the nearest inch, of a random sample of 21 brown bullhead fish. The outlier measurement of 24 inches is an error. Of the mean, median, and range of the values listed, which will change the most if the 24 -inch measurement is removed from the data?",C,Math,medium,sat,multiple_choice,Mean,Median,Range,They will all change by the same amount.
"$$\begin{aligned}& y<-x+a \\& y>x+b\end{aligned}$$In the $x y$-plane, if $(0,0)$ is a solution to the system of inequalities above, which of the following relationships between $a$ and $b$ must be true?",A,Math,medium,sat,multiple_choice,$a>b$,$b>a$,$|a|>|b|$,$a=-b$
A food truck sells salads for $\$ 6.50$ each and drinks for $\$ 2.00$ each. The food truck's revenue from selling a total of 209 salads and drinks in one day was $\$ 836.50$. How many salads were sold that day?,B,Math,medium,sat,multiple_choice,77,93,99,105
"Alma bought a laptop computer at a store that gave a 20 percent discount off its original price. The total amount she paid to the cashier was $p$ dollars, including an 8 percent sales tax on the discounted price. Which of the following represents the original price of the computer in terms of $p$ ?",D,Math,medium,sat,multiple_choice,$0.88 p$,$\frac{p}{0.88}$,$(0.8)(1.08) p$,$\frac{p}{(0.8)(1.08)}$
"Dreams Recalled during One Week\begin{center}\begin{tabular}{|l|c|c|c|c|}\hline& None & 1 to 4 & 5 or more & Total \\\hline\hlineGroup X & 15 & 28 & 57 & 100 \\\hlineGroup Y & 21 & 11 & 68 & 100 \\\hlineTotal & 36 & 39 & 125 & 200 \\\hline\end{tabular}\end{center}The data in the table above were produced by a sleep researcher studying the number of dreams people recall when asked to record their dreams for one week. Group X consisted of 100 people who observed early bedtimes, and Group Y consisted of 100 people who observed later bedtimes. If a person is chosen at random from those who recalled at least 1 dream, what is the probability that the person belonged to Group Y ?",C,Math,medium,sat,multiple_choice,$\frac{68}{100}$,$\frac{79}{100}$,$\frac{79}{164}$,$\frac{164}{200}$
"Which of the following is an equation of a circle in the $x y$-plane with center $(0,4)$ and a radius with endpoint $\left(\frac{4}{3}, 5\right) ?$",A,Math,medium,sat,multiple_choice,$x^{2}+(y-4)^{2}=\frac{25}{9}$,$x^{2}+(y+4)^{2}=\frac{25}{9}$,$x^{2}+(y-4)^{2}=\frac{5}{3}$,$x^{2}+(y+4)^{2}=\frac{3}{5}$
"$$h=-4.9 t^{2}+25 t$$The equation above expresses the approximate height $h$, in meters, of a ball $t$ seconds after it is launched vertically upward from the ground with an initial velocity of 25 meters per second. After approximately how many seconds will the ball hit the ground?",D,Math,medium,sat,multiple_choice,3.5,4.0,4.5,5.0
